,,,,,,,
,"(200, 218, Spanish)",en,es,fr,de,ru,ar
,1-title,Spanish Vocabulary 1,Vocabulario español 1,Vocabulaire espagnol 1,Spanischer Wortschatz 1,Испанский словарный запас 1,مفردات اللغة الإسبانية ١
,2-title,Spanish Vocabulary 2,Vocabulario español 2,Vocabulaire espagnol 2,Spanischer Wortschatz 2,Испанский словарный запас 2,مفردات اللغة الإسبانية ٢
,intro_title,About this course,Sobre este curso,À propos de ce cours,,О курсе,حول هذه الدورة
,intro_fc-1_q,What is this course about?,¿En qué consiste este curso?,Qu’est-ce que ce cours ?,Um was geht es bei dem Kurs?,О чем этот курс?,حول ماذا يتمحور هذا البرنامج التعليمي؟
,intro_fc-1_a_short,Spanish for beginners,Español para principiantes,L’espagnol pour les débutants,Spanisch für Anfänger,Испанский для начинающих,الإسبانية للمبتدئين
,intro_fc-1_a_long,"The Spanish language is one of the world’s leading languages that can take you places. This course will prove to be a wonderful tool to help you learn the basics of the language – meet and greet people, learn about their culture, ask for directions, converse at the airport or maybe just order some paella! Just select your mother tongue on the homepage and you’ll never need those translation books to lug around with you again.","El idioma español es una de las lenguas principales del mundo que te puede llevar a distintos lugares. Este curso será una herramienta maravillosa para ayudarte a aprender los fundamentos de la lengua: conocer y saludar a la gente, aprender sobre su cultura, preguntar por direcciones, conversar en el aeropuerto, ¡o tal vez solo pedir una paella! Solo tienes que seleccionar tu lengua materna en la página principal y nunca más necesitarás cargar con esos libros de traducción.","La langue espagnole est l’une des plus parlées au monde et vous accompagnera partout. Ce cours sera un outil essentiel pour en connaître les bases : rencontrer et saluer des gens, découvrir leur culture, demander son chemin, discuter à l’aéroport ou tout simplement commander une paella ! Rendez-vous sur la page d’accueil pour sélectionner votre langue maternelle, et vous n’aurez plus jamais besoin de vous encombrer de dictionnaires et autres guides de conversation !","Spanisch ist eine der weltweit führenden Sprachen, mit denen die Welt Ihnen offen steht. Dieser Kurs wird sich als ein wunderbares Werkzeug erweisen, mit dem Sie die Grundlagen der Sprache erlernen – Menschen begegnen und grüßen, ihre Kultur kennenlernen, nach dem Weg fragen, Gespräche am Flughafen führen oder vielleicht einfach eine Paella bestellen! Wählen Sie auf der Homepage einfach Ihre Muttersprache, und Sie werden nie wieder diese Wörterbücher mit sich herumschleppen müssen.","Испанский язык — один из ведущих языков в мире, с которым можно путешествовать во многие страны. Этот курс станет для вас отличным помощником в изучении основ языка: вы научитесь приветствовать людей и знакомиться с ними, узнаете об их культуре, научитесь спрашивать дорогу, сможете поговорить в аэропорту, а может даже заказать паэлью! Просто выберите свой родной язык на главной странице и вам больше не придется таскать с собой книги-разговорники.",تعتبر اللغة الإسبانية واحدة من اللغات الرئيسية في العالم التي يمكنك أن تتعلمها. هذا البرنامج التعليمي سوف يثبت لك أنه عبارة عن أداة رائعة يمكنها مساعدتك على تعلم أساسيات اللغة - مقابلة وتحية الأشخاص، والتعرف على ثقافاتهم، وطلب الاتجاهات منهم، وإجراء المحادثات في المطارات أو لمجرد طلب بعض البايلا! كل ما عليك هو اختيار لغتك الأم من الصفحة الرئيسية ولن تحتاج بعدها إلى اقتناء كتب الترجمة معك مجددا.
,intro_fc-2_q,Who should do this course?,¿A quién se dirige este curso?,À qui s’adresse ce cours ?,Wer sollte diesen Kurs absolvieren?,Кому может быть интересен данный курс?,من يجب أن يأخذ هذا البرنامج التعليمي؟
,intro_fc-2_a_short,Anyone who wants to learn the basics of Spanish,Cualquier persona interesada en aprender los fundamentos del español.,Aux personnes souhaitant apprendre les bases de l’espagnol. ,"Für jeden, der sich für die Grundlagen der spanischen Sprache interessiert.","Для всех, кто хочет освоить основы испанского.",أي شخص مهتم في تعلم أساسيات اللغة الإسبانية
,intro_fc-2_a_long,* Those who’d like to spice up their language repertoire * Travellers to Spain or Latin America * Anyone interested in the learning about the vibrant Spanish culture * Anyone interested in the field of translation and linguistics,* Aquellos que desean da vida a su repertorio lingüístico * Quienes viajen a España o América Latina * Cualquier persona interesada en aprender acerca de la dinámica cultura española * Cualquier persona interesada en el campo de la traducción y la lingüística,*Aux personnes souhaitant enrichir leur répertoire linguistique *Aux personnes souhaitant voyager en Espagne ou en Amérique Latine *Aux personnes intéressées par l’apprentissage de la riche culture espagnole. *Aux personnes intéressées par la traduction et la linguistique,"*Für jene, die ihren Wortschatz gerne aufpeppen würden *Für Reisende nach Spanien oder Lateinamerika *Für alle mit Interesse an der pulsierenden spanischen Kultur *Für alle mit Interesse am Themenbereich der Übersetzung und Linguistik","*Для тех, кто хочет разнообразить свой языковой репертуар.  *Для желающих поехать в Испанию или Латинскую Америку. *Для всех, кто хочет познать яркую и живую культуру Испании. *Для всех, кто интересуется переводом и лингвистикой.","* أولئك الذين يرغبون في تحسين مدخراتهم اللغوية  * المسافرون إلى إسبانيا أو أمريكا اللاتينية * أي شخص مهتم بالتعرف على الثقافة الإسبانية النابضة بالحياة * أي شخص مهتم في مجال الترجمة واللغويات
"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
