,,,,,,,
,"(211, 220, German)",en,es,fr,de,ru,ar
,1-title,German Vocabulary 1,Vocabulario alemán 1,Vocabulaire allemand 1,Deutsches Vokabular 1,Немецкий словарь 1,مفردات اللغة الألمانية ١
,2-title,German Vocabulary 2,Vocabulario alemán 2,Vocabulaire allemand 2,Deutsches Vokabular 2,Немецкий словарь 2,مفردات اللغة الألمانية ٢
,intro_title,About this course,Sobre este curso,À propos de ce cours,,О курсе,حول هذه الدورة
,intro_fc-1_q,What is this course about?,¿En qué consiste este curso?,Quel est le contenu de ce cours ?,Um was geht es bei dem Kurs?,О чем этот курс?,حول ماذا يتمحور هذا البرنامج التعليمي؟
,intro_fc-1_a_short,German for beginners,Alemán para principiantes,Allemand pour débutants,Deutsch für Anfänger,Немецкий для начинающих,اللغة الألمانية للمبتدئين
,intro_fc-1_a_long,"This German language course teaches you the basic conversational skills you’ll need to survive your first trip to Germany. It includes topics like how to meet and greet people, order food in a restaurant, book a flight, and even how to make social conversation. You just need to choose your mother tongue on the homepage and “bitte sehr”, now you have a new language in your repertoire!","Este curso de alemán te enseña las habilidades básicas de conversación necesarias para sobrevivir a tu primer viaje a Alemania. Incluye temas como conocer y saludar a la gente, pedir comida en un restaurante, reservar un vuelo, e incluso cómo entablar conversaciones sociales. Solo tienes que elegir tu lengua materna en la página principal y ""bitte sehr"", ¡ya tienes otro idioma más en tu repertorio!","Ce cours de langue allemande vous enseignera les compétences conversationnelles de base dont vous aurez besoin pour survivre lors de votre premier voyage en Allemagne. Il comporte des sujets tels que rencontrer et saluer les gens, commander des plats au restaurant, réserver un vol et même soutenir une conversation. Vous devez simplement sélectionner votre langue maternelle sur la page d'accueil et « bitte sehr », vous avez désormais une nouvelle langue à votre répertoire !","Dieser Deutschkurs lehrt Sie die Konversationsgrundlagen, die Sie auf Ihrer ersten Reise nach Deutschland zum Überleben brauchen. Die Themenauswahl umfasst „Leute treffen und begrüßen“, „Essen im Restaurant bestellen“, „Einen Flug buchen“ und auch, wie man soziale Konversation betreibt. Sie müssen lediglich Ihre Muttersprache auf der Homepage auswählen und  „bitte sehr”: Sie haben eine neue Sprache in Ihrem Repertoire!","Этот курс немецкого языка обучит вас основным навыкам общения, необходимым в вашей первой поездке в Германию. Он включает такие темы, как: знакомство и приветствия, заказ в ресторане, бронирование рейса, даже простое общение. Просто выберите на главной странице свой родной язык, и bitte sehr – теперь в вашем репертуаре есть новый язык!","تعلمك هذه الدورة الدراسية باللغة الألمانية مهارات التخاطب الأساسية التي ستحتاجها للتواصل أثناء رحلتك الأولى إلى ألمانيا. وتشمل مواضيع مثل، كيفية لقاء وتقديم التحية للناس، وطلب وجبة غذائية في مطعم، وحجز رحلة سفر وحتى كيفية التواصل وإقامة محادثات اجتماعية. تحتاج فقط إلى اختيار لغتك الأم على الصفحة الرئيسية و""bitte sehr""، والآن لديك لغة جديدة في سجلك!"
,intro_fc-2_q,Who should do this course?,¿A quién se dirige este curso?,À qui s'adresse ce cours ?,Wer sollte diesen Kurs absolvieren?,Кому может быть интересен данный курс?,من يجب أن يأخذ هذا البرنامج التعليمي؟
,intro_fc-2_a_short,Anyone interested in learning the basics of German,Cualquier persona interesada en aprender los conceptos básicos de alemán.,À toute personne souhaitant apprendre les bases de l'allemand. ,"Jeder, der Interesse hat, die Grundlagen der deutschen Sprache zu erlernen.",Всем желающим изучить основы немецкого.,أي شخص مهتم بتعلم أساسيات اللغة الألمانية
,intro_fc-2_a_long,"* Those interested in learning about the German language and culture * Travellers to Germany, Austria, Switzerland or The Netherlands * Anyone interested in international business communication * Anyone interested in the field of translation and linguistics","* Cualquier persona interesada en aprender acerca de la lengua y cultura alemana * Quien viaje a Alemania, Austria, Suiza o los Países Bajos * Cualquier persona interesada en la comunicación empresarial internacional * Cualquier persona interesada en el campo de la traducción y la lingüística","*À toute personne souhaitant en apprendre plus sur la langue et la culture allemandes *Aux personnes voyageant en Allemagne, en Autriche, en Suisse ou aux Pays-Bas *À toute personne intéressée par la communication internationale du monde des affaires *À toute personne intéressée par la traduction et la linguistique ","*Alle, die ein Interesse haben, die deutsche Sprache und Kultur zu erlernen  *Personen, die nach Deutschland, Österreich, in die Schweiz oder in die Niederlande reisen *Alle, die an internationaler Geschäftskommunikation interessiert sind *Alle, die sich für Übersetzung und Linguistik interessieren","*Всем, кому интересны немецкий язык и культура  *Собирающимся посетить Германию, Австрию, Швейцарию или Нидерланды *Всем, кому интересно международное деловое общение *Всем, кому интересны переводы и лингвистика",* أولئك المهتمون بتعلم اللغة والثقافة الألمانية * المسافرون إلى ألمانيا، النمسا، سويسرا أو هولندا * أي شخص مهتم بالاتصالات التجارية الدولية * أي شخص مهتم بمجال الترجمة واللغويات
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
