,English,Spanish,French,German,Russian,Arabic
,What is this course about?,¿En qué consiste este curso?,,Um was geht es bei dem Kurs?,О чем этот курс?,حول ماذا يتمحور هذا البرنامج التعليمي؟
,Who should do this course?,¿A quién se dirige este curso?,,Wer sollte diesen Kurs absolvieren?,Кому может быть интересен данный курс?,من يجب أن يأخذ هذا البرنامج التعليمي؟
,Spanish Vocabulary,Vocabulario español,,Spanisch-Vokabular,Испанский словарь,مفردات اللغة الإسبانية
,French Vocabulary,Vocabulario francés,,Französische-Vokabular,Французский словарь,
,German Vocabulary,Vocabulario alemán,,Deutsches Vokabular,Немецкий словарь,
,Russian Vocabulary,Vocabulario ruso,,Russisch-Vokabular,Русский словарь,
,Arabic Vocabulary,Vocabulario árabe,,Arabisch-Vokabular,Арабский словарь,
,English Vocabulary,Vocabulario inglés,,Englisch-Vokabular,Английский словарь,
,German for beginners,Alemán para principiantes,,Deutsch für Anfänger,Немецкий для начинающих,
,English for beginners,Inglés para principiantes,,Englisch für Anfänger,Английский словарный запас,
,French for beginners,Francés para principiantes,,Französisch für Anfänger,Французский словарный запас,
,Arabic for beginners,Árabe para principiantes,,Arabisch für Anfänger,Арабский словарный запас,
,Russian for beginners,Ruso para principiantes,,Russisch für Anfänger,Русский для начинающих,
,Spanish for beginners,Español para principiantes,,Spanisch für Anfänger,Испанский словарный запас,الإسبانية للمبتدئين
,Anyone interested in learning the basics of German,Cualquier persona interesada en aprender los conceptos básicos de alemán.,,"Jeder, der Interesse hat, die Grundlagen der deutschen Sprache zu erlernen.",Всем желающим изучить основы немецкого.,مفردات اللغة الألمانية
,Anyone interested in learning the basics of English,Personas interesadas en aprender las bases del inglés,,"Jeder, der Interesse hat, die Grundlagen der englischen Sprache zu erlernen.",,مفردات اللغة الإنكليزية
,Anyone interested in learning the basics of French,Personas interesadas en aprender las bases del francés,,"Jeder, der Interesse hat, die Grundlagen der französischen Sprache zu erlernen.",,مفردات اللغة الفرنسية
,Anyone interested in learning the basics of Russian,Personas interesadas en aprender las bases del ruso,,"Jeder, der Interesse hat, die Grundlagen der russischen Sprache zu erlernen.",,مفردات اللغة الروسية
,Anyone interested in learning the basics of Arabic,Personas interesadas en aprender las bases del árabe,,"Jeder, der Interesse hat, die Grundlagen der arabischen Sprache zu erlernen.",,مفردات اللغة العربية
,Anyone interested in learning the basics of Spanish,Cualquier persona interesada en aprender los fundamentos del español.,,"Jeder, der Interesse hat, die Grundlagen der spanischen Sprache zu erlernen.",,أي شخص مهتم في تعلم أساسيات اللغة الإسبانية.
INTRO COPY,,,,,,
What is this course about SPANISH VOCAB,"The Spanish language is one of the world’s leading languages that can take you places. This course will prove to be a wonderful tool to help you learn the basics of the language – meet and greet people, learn about their culture, ask for directions, converse at the airport or maybe just order some paella! Just select your mother tongue on the homepage and you’ll never need those translation books to lug around with you again.","El idioma español es una de las lenguas principales del mundo que te puede llevar a distintos lugares. Este curso será una herramienta maravillosa para ayudarte a aprender los fundamentos de la lengua: conocer y saludar a la gente, aprender sobre su cultura, preguntar por direcciones, conversar en el aeropuerto, ¡o tal vez solo pedir una paella! Solo tienes que seleccionar tu lengua materna en la página principal y nunca más necesitarás cargar con esos libros de traducción.",,,,تعتبر اللغة الإسبانية واحدة من اللغات الرئيسية في العالم التي يمكنك أن تتعلمها. هذا البرنامج التعليمي سوف يثبت لك أنه عبارة عن أداة رائعة يمكنها مساعدتك على تعلم أساسيات اللغة - مقابلة وتحية الأشخاص، والتعرف على ثقافاتهم، وطلب الاتجاهات منهم، وإجراء المحادثات في المطارات أو لمجرد طلب بعض المعلومات! كل ما عليك هو اختيار لغتك الأم من الصفحة الرئيسية ولن تحتاج بعدها إلى اقتناء كتب الترجمة معك مجددا.
