,,,,,,,
,"(293, 294, English)",en,es,fr,de,ru,ar
,1-title,English Vocabulary 1,Vocabulario inglés 1,Vocabulaire anglais 1,Englische Vokabeln 1,Английский словарный запас 1,مفردات اللغة الإنكليزية ١
,2-title,English Vocabulary 2,Vocabulario inglés 2,Vocabulaire anglais 2,Englische Vokabeln 2,Английский словарный запас 2,مفردات اللغة الإنكليزية ٢
,intro_title,About this course,Sobre este curso,À propos de ce cours,Über diesen Kurs,О курсе,حول هذه الدورة
,intro_fc-1_q,What is this course about?,¿En qué consiste este curso?,Qu’est-ce que ce cours ?,Um was geht es bei dem Kurs?,О чем этот курс?,ماذا تقدم هذه الدورة؟
,intro_fc-1_a_short,English for beginners,Inglés para principiantes,Anglais pour débutants,Englisch für Anfänger,Английский язык для начинающих,اللغة الفرنسية للمبتدئين
,intro_fc-1_a_long,"English is one of the most widely spoken languages in the world. It is the international language of business and one of the official languages of the UN. Learning English will greatly benefit anyone who is travelling to anywhere in the world. This vocabulary course will help you with your pronunciation of words from all kinds of topics, from food to directions. Simply select your native language from the homepage, and start learning now!","El inglés es una de las lenguas más habladas del mundo. Es el idioma internacional en el mundo de los negocios y una de las lenguas oficiales de la ONU. Aprender inglés te ayudará para viajar a cualquier parte del mundo. Este curso de vocabulario te ayudará a mejorar la pronunciación de palabras de temática variada, desde comidas a direcciones. ¡Selecciona tu lengua materna en la página de inicio y empieza a aprender inglés!","L’anglais est l’une des langues les plus répandues du monde. C’est la langue internationale des affaires et l’une des langues officielles de l’ONU. Apprendre l’anglais sera d’une grande utilité pour toute personne voyageant à n’importe quelle destination du globe. Ce cours de vocabulaire va vous aider avec votre prononciation des mots sur toutes sortes de sujets, allant de la nourriture aux directions. Sélectionnez simplement votre langue maternelle sur la page d’accueil et commencez votre apprentissage dès à présent !","Englisch ist die meistgesprochene Sprache in der Welt. Es ist die internationale Sprache in der Geschäftswelt und eine der offiziellen Sprachen der UN. Englisch lernen wird ein großer Vorteil für jeden sein, der an irgendeinen Ort der Welt reist. Dieser Vokabelkurs wird Ihnen bei der Aussprache von Wörtern aus allen möglichen Bereichen von Nahrungsmitteln bis Richtungen helfen. Wählen Sie einfach Ihre Muttersprache auf der Startseite aus und fangen Sie jetzt an zu lernen!","Английский язык – это один из самых распространенных языков в мире. Это международный язык делового общения и один из официальных языков ООН. Изучение английского языка очень полезно для поездок в любую часть света. Этот курс по расширению словарного запаса поможет вам освоить произношение слов на самые разные темы, начиная от еды и заканчивая указаниями  о том, как найти дорогу куда-либо. Просто выберите на домашней странице свой родной язык и начните заниматься прямо сейчас!",اللغة الإنجليزية هي واحدة من أكثر اللغات انتشاراً في العالم. إنها اللغة الدولية لرجال الأعمال، وهي واحدة من اللغات الرسمية للأمم المتحدة. تعلُّم اللغة الإنجليزية سوف يُفيد كثيراً كل من يسافر إلى أي مكان في العالم. هذه الدورة سوف تساعدك على تعلم نطق كلمات من جميع أنواع المواضيع، من الغذاء إلى تحديد الاتجاهات. ببساطة اختر لغتك الأم من الصفحة الرئيسية، وابدأ في التعلم الآن!
,intro_fc-2_q,Who should do this course?,¿A quién se dirige este curso?,Qui devrait suivre ce cours de formation ?,Wer sollte diesen Kurs absolvieren?,Кому может быть интересен данный курс?,من يجب أن يأخذ هذا البرنامج التعليمي؟
,intro_fc-2_a_short,Anyone interested in learning the basics of English,Personas interesadas en aprender las bases del inglés,Toute personne intéressée à apprendre les rudiments de la langue anglaise,Jeder mit einem Interesse an den Grundlagen der englischen Sprache,"Для всех, кто хочет изучить основы английского языка",كل من يهتم بتعلم أساسيات الفرنسية
,intro_fc-2_a_long,* Anyone interested in international business communication *Anyone interested in travelling abroad * Anyone interested in the history of the British Empire,* Cualquiera que esté interesado en la comunicación intercultural en los negocios * Cualquiera que esté interesado en viajar al extranjero * Cualquiera que esté interesado en la historia del imperio británico,* Toute personne intéressée à la communication internationale des entreprises * Toute personne intéressée à voyager à l’étranger * Quiconque s’intéresse à l’histoire de l’Empire britannique,*Jeder mit einem Interesse an internationaler Wirtschaftskommunikation *Jeder mit einem Interesse an Auslandsreisen *Jeder mit einem Interesse an der Geschichte des Britischen Königreichs,"* Для тех, кому требуется вести международные деловые переговоры * Для тех, кто интересуется путешествиями заграницу * Для тех, кто интересуется историей Британской Империи",* كل من يهتم بالاعمال التجارية الدولية * كل من يهتم بالسفر إلى الخارج * كل من يهتم بتاريخ الإمبراطورية البريطانية
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
